pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
HD 8326,b,HD 8326 b,Radial Velocity,0,1,158.991,1.44,-1.44,0,0.533,0.011,-0.011,0,0.2,0.11,-0.11,0,,,,0,0.20955,0.06167,-0.06167,0,Msini,,,,0,,,,0,0,0,0,0,01h22m07.61s,20.531721,-26d53m35.2s,-26.893103,30.71,,,0,30.71,0.04,-0.04,0,8.76,0.03,0,V (Johnson),,,,4914,51,-32,0,0.8,0.05,-0.05,0,,,,0,2019-05-23,Las Campanas Observatory
HD 83443,b,HD 83443 b,Radial Velocity,0,1,2.9857,5.7E-05,-5.7E-05,0,0.04,0,0,0,0.01,0.01,-0.01,0,,,,0,0.34,0.02,-0.02,0,Msini,,,,0,,,,0,0,0,0,1,09h37m11.83s,144.299286,-43d16m19.9s,-43.272205,40.95,0.06,-0.06,0,40.95,0.06,-0.06,0,8.222,0.011,0,V (Johnson),8.026,,0,5442,17,-17,0,0.79,0.07,-0.07,0,0.94,0.02,-0.02,0,2018-09-06,Multiple Observatories
HD 8535,b,HD 8535 b,Radial Velocity,0,1,1313,28,-28,0,2.45,0.04,-0.06,0,0.15,0.09,-0.05,0,,,,,0.68,0.07,-0.04,0,Msini,,,,,,,,,0,0,0,0,01h23m37.24s,20.905149,-41d16m11.3s,-41.269802,52.5,1.7,-1.6,0,55.53,0.1,-0.1,0,7.7,,0,V (Johnson),7.561,,0,6136,18,-18,0,1.13,,,0,1.19,0.04,-0.04,0,2015-04-16,La Silla Observatory
HD 85390,b,HD 85390 b,Radial Velocity,0,1,799.52,2.41,-2.41,0,1.373,0.035,-0.035,0,0.5,0.05,-0.05,0,,,,0,0.099,0.01,-0.01,0,Msini,,,,0,,,,0,0,0,0,0,09h50m02.50s,147.510406,-49d47m25.0s,-49.790268,33.56,0.04,-0.04,0,33.56,0.04,-0.04,0,8.526,0.014,0,V (Johnson),8.295,,0,5186,,,0,0.76,,,0,,,,0,2019-03-14,La Silla Observatory
HD 85512,b,HD 85512 b,Radial Velocity,0,1,58.43,0.13,-0.13,0,0.26,0,0,0,0.11,0.1,-0.1,0,,,,0,0.01,0,0,0,Msini,,,,0,,,,0,0,0,0,0,09h51m07.05s,147.779388,-43d30m10.0s,-43.502789,11.28,0.01,-0.01,0,11.28,0.01,-0.01,0,7.67,,0,V (Johnson),7.187,,0,4300,45,-45,0,0.43,0.1,-0.1,0,0.71,0.02,-0.02,0,2018-09-06,La Silla Observatory
HD 8574,b,HD 8574 b,Radial Velocity,0,1,227,0.2,-0.2,0,0.76,0.01,-0.01,0,0.3,0.03,-0.03,0,,,,0,2.03,0.14,-0.14,0,Msini,,,,0,,,,0,0,0,0,0,01h25m12.52s,21.302153,+28d34m00.1s,28.566692,44.88,0.09,-0.09,0,44.88,0.09,-0.09,0,7.112,0.011,0,V (Johnson),6.983,,0,6064,14,-14,0,1.34,0.12,-0.12,0,1.38,0.02,-0.02,0,2018-09-06,Haute-Provence Observatory
HD 86081,b,HD 86081 b,Radial Velocity,0,1,2.1378431,3.1E-06,-3.1E-06,0,0.0346,0.0027,-0.0027,0,0.0119,0.0047,-0.0047,0,,,,0,1.48,0.23,-0.23,0,Msini,,,,0,,,,0,0,0,0,0,09h56m05.92s,149.024658,-03d48m30.3s,-3.808422,104.24,0.55,-0.55,0,104.24,0.55,-0.55,0,8.73,,0,V (Johnson),8.588,,0,5939,,,0,1.21,0.28,-0.28,0,1.46,0.14,-0.14,0,2018-09-27,W. M. Keck Observatory
HD 86226,b,HD 86226 b,Radial Velocity,0,1,1695,58,-58,0,2.84,0.06,-0.06,0,0.15,0.09,-0.09,0,,,,,0.92,0.1,-0.1,0,Msini,,,,,,,,,0,0,0,0,09h56m29.85s,149.124359,-24d05m57.8s,-24.09939,45.74,0.1,-0.1,0,45.74,0.1,-0.1,0,7.932,0.013,0,V (Johnson),7.771,,0,5903,31,-31,0,1.06,0.03,-0.03,0,1.02,0.03,-0.03,0,2014-05-14,Las Campanas Observatory
HD 86264,b,HD 86264 b,Radial Velocity,0,1,1475,55,-55,0,2.86,0.07,-0.07,0,0.7,0.2,-0.2,0,,,,,7,1.6,-1.6,0,Msini,,,,,,,,,0,0,0,0,09h56m57.84s,149.240997,-15d53m42.4s,-15.895122,67.94,0.27,-0.27,0,67.94,0.27,-0.27,0,7.407,0.011,0,V (Johnson),7.284,,0,6210,44,-44,0,1.42,0.05,-0.05,0,1.88,0.12,-0.12,0,2015-04-24,Lick Observatory
HD 8673,b,HD 8673 b,Radial Velocity,0,1,1634,17,-17,0,3.02,0.15,-0.15,0,0.723,0.016,-0.016,0,,,,0,14.2,1.6,-1.6,0,Msini,,,,0,,,,0,0,0,0,0,01h26m08.78s,21.536604,+34d34m46.9s,34.5797,37.9,0.05,-0.05,0,37.9,0.05,-0.05,0,6.31,,0,V (Johnson),6.219,,0,6472,51,-51,0,1.35,0.1,-0.1,0,1.39,0.1,-0.1,0,2019-01-31,Thueringer Landessternwarte Tautenburg
HD 86950,b,HD 86950 b,Radial Velocity,0,1,1270,57,-57,0,2.72,0.08,-0.08,0,0.17,0.16,-0.16,0,,,,,3.6,0.7,-0.7,0,Msini,,,,,,,,,0,0,0,0,10h01m37.61s,150.406708,-17d19m58.9s,-17.333023,211.1,1.95,-1.95,0,211.1,1.95,-1.95,0,7.459,0.011,0,V (Johnson),7.18,,0,4805,100,-100,0,1.66,0.25,-0.25,0,8.8,0.6,-0.6,0,2016-12-01,Multiple Observatories
HD 87646,b,HD 87646 b,Radial Velocity,0,1,13.481,0.001,-0.001,0,0.117,0.003,-0.003,0,0.05,0.02,-0.02,0,,,,,12.4,0.7,-0.7,0,Msini,,,,,,,,,0,0,0,0,10h06m40.77s,151.669861,+17d53m42.4s,17.895103,135.17,14.24,-14.24,0,135.17,14.24,-14.24,0,8,,0,V (Johnson),7.93,,0,5770,80,-80,0,1.12,0.09,-0.09,0,1.55,0.22,-0.22,0,2016-08-18,Apache Point Observatory
HD 87883,b,HD 87883 b,Radial Velocity,0,1,2754,87,-87,0,3.58,0.1,-0.1,0,0.53,0.12,-0.12,0,,,,0,1.54,0.26,-0.26,0,Msini,,,,0,,,,0,0,0,0,0,10h08m43.14s,152.179749,+34d14m32.1s,34.24226,18.3,0.01,-0.01,0,18.3,0.01,-0.01,0,7.55,0.02,0,V (Johnson),7.272,,0,4915,73,-73,0,0.66,0.09,-0.09,0,0.79,0.03,-0.03,0,2018-09-06,Lick Observatory
HD 88133,b,HD 88133 b,Radial Velocity,0,1,3.414884,3E-05,-3E-05,0,0.0479,0.0033,-0.0033,0,0.031,0.021,-0.021,0,,,,0,0.2845,0.0063,-0.0063,0,Msini,,,,,,,,0,0,0,0,0,10h10m07.68s,152.531982,+18d11m12.7s,18.186871,73.77,0.3,-0.3,0,73.77,0.3,-0.3,0,8.01,,0,V (Johnson),7.81,,0,5392,,,0,1.26,,,0,2.2,,,0,2018-12-06,W. M. Keck Observatory
HD 89307,b,HD 89307 b,Radial Velocity,0,1,2166,38,-38,0,3.27,0.07,-0.07,0,0.2,0.05,-0.05,0,,,,0,2.11,0.21,-0.21,0,Msini,,,,0,,,,0,0,0,0,0,10h18m21.29s,154.588699,+12d37m16.0s,12.621108,32.04,0.05,-0.05,0,32.04,0.05,-0.05,0,7.009,0.011,0,V (Johnson),6.868,,0,5955,14,-14,0,1.27,0.12,-0.12,0,1.1,0.01,-0.01,0,2018-09-06,Lick Observatory
HD 89345,b,HD 89345 b,Transit,0,1,11.8143,0.0002,-0.0002,0,0.1066,0.0012,-0.0014,0,0.22,0.095,-0.13,0,87.21,0.43,-0.22,0,0.11,0.017,-0.018,0,Mass,0.66,0.028,-0.03,0,0.471,0.094,-0.084,0,0,0,1,3,10h18m41.06s,154.671066,+10d07m44.5s,10.129028,132.8,1.8,-1.7,0,132.85,0.8,-0.8,0,9.376,0.028,0,V (Johnson),9.217,,0,5576,73,-76,0,1.16,0.04,-0.04,0,1.75,0.05,-0.05,0,2018-08-23,K2
HD 89744,b,HD 89744 b,Radial Velocity,0,1,256.78,0.02,-0.02,0,0.917,0.009,-0.009,0,0.677,0.003,-0.003,0,,,,0,8.35,0.18,-0.18,0,Msini,,,,0,,,,0,0,0,0,0,10h22m10.56s,155.544006,+41d13m46.3s,41.22953,38.68,0.11,-0.11,0,38.68,0.11,-0.11,0,5.72,0.009,0,V (Johnson),5.586,,0,6291,,,0,1.86,,,0,,,,0,2019-03-14,Fred Lawrence Whipple Observatory
HD 90156,b,HD 90156 b,Radial Velocity,0,1,49.77,0.07,-0.07,0,0.25,0.004,-0.004,0,0.31,0.1,-0.1,0,,,,,0.057,0.005,-0.005,0,Msini,,,,,,,,,0,0,0,0,10h23m55.28s,155.980316,-29d38m43.9s,-29.645529,21.96,0.02,-0.02,0,21.96,0.02,-0.02,0,6.92,0.01,0,V (Johnson),6.74,,0,5599,12,-12,0,0.84,,,0,,,,,2014-05-14,La Silla Observatory
HD 9174,b,HD 9174 b,Radial Velocity,0,1,1179,34,-34,0,2.2,0.09,-0.09,0,0.12,0.05,-0.05,0,,,,,1.11,0.14,-0.14,0,Msini,,,,,,,,,0,0,0,0,01h30m01.00s,22.504177,-19d36m16.2s,-19.604502,81.68,0.3,-0.3,0,81.68,0.3,-0.3,0,8.4,,0,V (Johnson),8.229,,0,5577,100,-100,0,1.03,0.05,-0.05,0,1.67,0.07,-0.07,0,2016-11-10,Multiple Observatories
HD 92788,b,HD 92788 b,Radial Velocity,0,2,325.803,0.036525,-0.036525,0,0.97,0.02,-0.02,0,0.35,0.004,-0.005,0,,,,0,3.76,0.16,-0.15,0,Msini,,,,0,,,,0,0,0,0,0,10h42m48.53s,160.702209,-02d11m01.5s,-2.183756,34.69,0.06,-0.06,0,34.69,0.06,-0.06,0,7.31,,0,V (Johnson),7.139,,0,5744,24,-24,0,1.15,0.07,-0.07,0,1.14,0.02,-0.02,0,2019-04-11,Multiple Observatories
HD 92788,c,HD 92788 c,Radial Velocity,0,2,11611.2975,5055.06,-905.82,0,10.5,2.9,-0.55,0,0.46,0.12,-0.03,0,,,,0,3.67,0.3,-0.25,0,Msini,,,,0,,,,0,0,0,0,0,10h42m48.53s,160.702209,-02d11m01.5s,-2.183756,34.69,0.06,-0.06,0,34.69,0.06,-0.06,0,7.31,,0,V (Johnson),7.139,,0,5744,24,-24,0,1.15,0.07,-0.07,0,1.14,0.02,-0.02,0,2019-04-11,La Silla Observatory
HD 92987,b,HD 92987 b,Radial Velocity,0,1,10354.8375,551.5275,-270.285,0,9.62,0.36,-0.26,0,0.21,0.02,-0.01,0,,,,0,16.88,0.69,-0.65,0,Msini,,,,0,,,,0,0,0,0,1,10h43m36.27s,160.901108,-39d03m30.3s,-39.058426,43.59,0.07,-0.07,0,43.59,0.07,-0.07,0,7.03,,0,V (Johnson),6.86,,0,5770,36,-36,0,1.08,0.06,-0.06,0,1.58,0.04,-0.04,0,2019-04-11,La Silla Observatory
HD 93083,b,HD 93083 b,Radial Velocity,0,1,143.58,0.6,-0.6,0,0.477,,,0,0.14,0.03,-0.03,0,,,,,0.37,,,0,Msini,,,,,,,,,0,0,0,0,10h44m20.91s,161.087143,-33d34m37.3s,-33.577023,28.54,0.04,-0.04,0,28.54,0.04,-0.04,0,8.3,0,0,V (Johnson),8.042,,0,4995,50,-50,0,0.7,0.04,-0.04,0,,,,,2014-05-14,La Silla Observatory
HD 9446,b,HD 9446 b,Radial Velocity,0,2,30.052,0.027,-0.027,0,0.189,0.006,-0.006,0,0.2,0.06,-0.06,0,,,,0,0.7,0.06,-0.06,0,Msini,,,,0,,,,0,0,0,0,0,01h33m20.18s,23.334101,+29d15m54.5s,29.265148,50.42,0.35,-0.35,0,50.42,0.35,-0.35,0,8.369,0.015,0,V (Johnson),8.209,,0,5793,22,-22,0,1,0.1,-0.1,0,1,,,0,2019-01-31,Haute-Provence Observatory
HD 9446,c,HD 9446 c,Radial Velocity,0,2,192.9,0.9,-0.9,0,0.654,0.022,-0.022,0,0.06,0.06,-0.06,0,,,,0,1.82,0.17,-0.17,0,Msini,,,,0,,,,0,0,0,0,0,01h33m20.18s,23.334101,+29d15m54.5s,29.265148,50.42,0.35,-0.35,0,50.42,0.35,-0.35,0,8.369,0.015,0,V (Johnson),8.209,,0,5793,22,-22,0,1,0.1,-0.1,0,1,,,0,2019-01-31,Haute-Provence Observatory
HD 94834,b,HD 94834 b,Radial Velocity,0,1,1576,76,-76,0,2.74,0.18,-0.18,0,0.14,0.1,-0.1,0,,,,0,1.26,0.17,-0.17,0,Msini,,,,,,,,0,0,0,0,0,10h57m15.11s,164.312973,+24d08m34.0s,24.142782,98.43,0.64,-0.64,0,98.43,0.64,-0.64,0,7.6,,0,V (Johnson),7.302,,0,4798,,,0,1.11,,,0,4.2,,,0,2018-12-06,W. M. Keck Observatory
HD 95086,b,HD 95086 b,Imaging,0,1,,,,,55.7,2.5,-2.5,0,,,,,,,,,5,2,-2,0,Mass,,,,,,,,,0,0,0,1,10h57m03.02s,164.262589,-68d40m02.4s,-68.667343,86.44,0.24,-0.24,0,86.44,0.24,-0.24,0,7.36,0.01,0,V (Johnson),7.309,,0,,,,,1.6,,,0,,,,,2014-05-14,Paranal Observatory
HD 95089,b,HD 95089 b,Radial Velocity,0,2,464.4,3.8,-3.8,0,1.36,0.13,-0.13,0,0.119,0.072,-0.072,0,,,,0,1.26,0.085,-0.085,0,Msini,,,,,,,,0,0,0,0,1,10h58m47.74s,164.698898,+01d43m45.2s,1.729216,137.46,1.95,-1.95,0,137.46,1.95,-1.95,0,7.92,,0,V (Johnson),7.661,,0,4918,,,0,1.54,,,0,5.08,,,0,2018-12-06,W. M. Keck Observatory
HD 95089,c,HD 95089 c,Radial Velocity,0,2,1785,32,-32,0,3.33,0.31,-0.31,0,0.284,0.042,-0.042,0,,,,0,3.45,0.14,-0.14,0,Msini,,,,,,,,0,0,0,0,1,10h58m47.74s,164.698898,+01d43m45.2s,1.729216,137.46,1.95,-1.95,0,137.46,1.95,-1.95,0,7.92,,0,V (Johnson),7.661,,0,4918,,,0,1.54,,,0,5.08,,,0,2018-12-06,W. M. Keck Observatory
HD 95127,b,HD 95127 b,Radial Velocity,0,1,482,5,-5,0,1.28,0.08,-0.08,0,0.11,0.1,-0.1,0,,,,0,10.63,8.06,-8.06,0,Msini,,,,0,,,,0,0,0,0,0,10h59m35.09s,164.896194,+43d48m52.1s,43.814465,689.75,45.77,-45.77,0,689.75,45.77,-45.77,0,8.15,0.01,0,V (Johnson),7.721,,0,4218,30,-30,0,3.7,4.16,-4.16,0,41.01,18.22,-18.22,0,2018-09-06,McDonald Observatory
HD 95872,b,HD 95872 b,Radial Velocity,0,1,4375,170,-170,0,5.15,0.16,-0.16,0,0.06,0.04,-0.04,0,,,,0,3.74,0.93,-0.93,0,Msini,,,,0,,,,0,0,0,0,1,11h03m28.11s,165.867114,-22d05m38.3s,-22.093977,72.37,0.18,-0.18,0,72.37,0.18,-0.18,0,9.895,,0,V (Johnson),9.653,,0,5312,100,-100,0,0.7,0.25,-0.25,0,0.84,0.04,-0.04,0,2018-09-06,Multiple Facilities
HD 96063,b,HD 96063 b,Radial Velocity,0,1,362.5,2.2,-2.2,0,1.11,0.14,-0.14,0,0.17,0.11,-0.11,0,,,,0,1.27,0.27,-0.27,0,Msini,,,,,,,,0,0,0,0,0,11h04m44.45s,166.185226,-02d30m47.6s,-2.513218,140.62,1.33,-1.33,0,140.62,1.33,-1.33,0,8.21,,0,V (Johnson),7.97,,0,5020,,,0,1.37,,,0,4.75,,,0,2018-12-06,W. M. Keck Observatory
HD 96127,b,HD 96127 b,Radial Velocity,0,1,647.29999,17,-17,0,1.42,0.13,-0.13,0,0.3,0.1,-0.1,0,,,,0,20.96,12.99,-12.99,0,Msini,,,,0,,,,0,0,0,0,0,11h05m45.95s,166.441452,+44d18m05.6s,44.301559,597.42,26.09,-26.09,0,597.42,26.09,-26.09,0,7.43,,0,V (Johnson),6.882,,0,3943,23,-23,0,10.94,10.02,-10.02,0,51.1,22.81,-22.81,0,2018-09-06,McDonald Observatory
HD 96167,b,HD 96167 b,Radial Velocity,0,1,498.04,0.76,-0.76,0,1.332,0.098,-0.098,0,0.685,0.029,-0.029,0,,,,0,0.717,0.04,-0.04,0,Msini,,,,,,,,0,0,0,0,0,11h05m15.07s,166.31279,-10d17m28.7s,-10.291301,85.51,0.41,-0.41,0,85.51,0.41,-0.41,0,8.09,,0,V (Johnson),7.928,,0,5733,,,0,1.27,,,0,1.94,,,0,2018-12-06,W. M. Keck Observatory
HD 97048,b,HD 97048 b,Disk Kinematics,0,1,,,,0,130,,,0,,,,0,40,,,0,2.5,0.5,-0.5,0,Mass,,,,0,,,,0,0,0,0,1,11h08m03.32s,167.013824,-77d39m17.5s,-77.654854,185,,,0,184.83,1.33,-1.33,0,8.447,0.014,0,V (Johnson),8.339,,0,10000,,,0,2.4,,,0,2.25,,,0,2019-10-24,Atacama Large Millimeter Array (ALMA)
HD 97658,b,HD 97658 b,Radial Velocity,0,1,9.4909,0.0016,-0.0016,0,,,,0,0.06,0.05,-0.05,0,89.45,0.4,-0.4,0,0.03,0,0,0,Mass,0.21,0.01,-0.01,0,,,,0,0,0,0,1,11h14m33.16s,168.638184,+25d42m37.4s,25.710384,21.58,0.03,-0.03,0,21.58,0.03,-0.03,0,7.71,0.01,0,V (Johnson),7.514,,0,5175,25,-25,0,0.89,0.15,-0.15,0,0.74,0.01,-0.01,0,2018-04-26,W. M. Keck Observatory
HD 98219,b,HD 98219 b,Radial Velocity,0,1,433.8,2,-2,0,1.26,0.12,-0.12,0,0.079,0.04,-0.04,0,,,,0,1.964,0.099,-0.099,0,Msini,,,,,,,,0,0,0,0,0,11h17m47.55s,169.448135,-23d58m31.5s,-23.975414,114.07,0.58,-0.58,0,114.07,0.58,-0.58,0,8.05,,0,V (Johnson),7.791,,0,4925,,,0,1.41,,,0,4.6,,,0,2018-12-06,W. M. Keck Observatory
HD 98649,b,HD 98649 b,Radial Velocity,0,1,6022.9725,412.7325,-255.675,0,6.57,0.31,-0.23,0,0.86,0.04,-0.02,0,,,,0,6.79,0.53,-0.31,0,Msini,,,,0,,,,0,0,0,0,0,11h20m51.77s,170.215698,-23d13m02.4s,-23.217342,42.22,0.09,-0.09,0,42.22,0.09,-0.09,0,8,,0,V (Johnson),7.829,,0,5790,58,-58,0,1.03,0.06,-0.06,0,1.01,0.02,-0.02,0,2019-04-11,La Silla Observatory
HD 98736,b,HD 98736 b,Radial Velocity,0,1,968.8,2.2,-2.2,0,1.864,0.091,-0.091,0,0.226,0.064,-0.064,0,,,,0,2.33,0.78,-0.78,0,Msini,,,,0,,,,0,0,0,0,0,11h21m49.34s,170.455597,+18d11m24.0s,18.190001,32.48,0.06,-0.06,0,32.48,0.06,-0.06,0,7.93,,0,V (Johnson),7.754,,0,5271,,,0,0.92,0.13,-0.13,0,0.93,0.04,-0.04,0,2018-09-27,W. M. Keck Observatory
HD 99109,b,HD 99109 b,Radial Velocity,0,1,439.29999,5.6,-5.6,0,1.11,0.02,-0.02,0,0.09,0.12,-0.12,0,,,,0,0.44,0.08,-0.08,0,Msini,,,,0,,,,0,0,0,0,0,11h24m17.36s,171.072327,-01d31m44.7s,-1.529076,54.88,0.17,-0.17,0,54.88,0.17,-0.17,0,9.1,,0,V (Johnson),8.868,,0,5282,32,-32,0,0.76,0.1,-0.1,0,0.98,0.02,-0.02,0,2018-09-06,W. M. Keck Observatory
HD 99492,b,HD 99492 b,Radial Velocity,0,1,17.0431,0.0047,-0.0047,0,0.12,0,0,0,0.25,0.09,-0.09,0,,,,0,0.07,0.05,-0.05,0,Msini,,,,0,,,,0,0,0,0,0,11h26m46.28s,171.692825,+03d00m22.8s,3.006328,18.21,0.06,-0.06,0,18.21,0.06,-0.06,0,7.58,,0,V (Johnson),7.26,,0,4815,185,-185,0,0.48,0.51,-0.51,0,0.83,0.07,-0.07,0,2018-09-06,W. M. Keck Observatory
HD 99706,b,HD 99706 b,Radial Velocity,0,2,841,32,-32,0,1.98,0.14,-0.14,0,0.25,0.16,-0.16,0,,,,0,1.23,0.19,-0.19,0,Msini,,,,,,,,0,0,0,0,0,11h28m30.21s,172.125885,+43d57m59.7s,43.966579,147.21,1.12,-1.12,0,147.21,1.12,-1.12,0,7.65,,0,V (Johnson),7.377,,0,4862,,,0,1.46,,,0,5.52,,,0,2018-12-06,W. M. Keck Observatory
HD 99706,c,HD 99706 c,Radial Velocity,0,2,1278,151,-198,0,,,,0,0.411,0.231,-0.178,0,,,,0,5.69,1.43,-0.96,0,Msini,,,,0,,,,0,0,0,0,0,11h28m30.21s,172.125885,+43d57m59.7s,43.966579,147.21,1.12,-1.12,0,147.21,1.12,-1.12,0,7.65,,0,V (Johnson),7.377,,0,4862,,,0,1.46,,,0,5.52,,,0,2018-11-29,W. M. Keck Observatory
HIP 105854,b,HIP 105854 b,Radial Velocity,0,1,184.2,0.5,-0.5,0,0.81,0.03,-0.03,0,0.02,0.03,-0.03,0,,,,,8.2,0.2,-0.2,0,Msini,,,,,,,,,0,0,0,0,21h26m22.87s,321.595306,-37d49m45.9s,-37.82943,78.8,0.74,-0.74,0,78.8,0.74,-0.74,0,5.64,,0,V (Johnson),5.256,,0,4780,100,-100,0,2.1,0.1,-0.1,0,,,,,2014-06-11,Multiple Observatories
HIP 107773,b,HIP 107773 b,Radial Velocity,0,1,144.3,0.5,-0.5,0,0.72,0.03,-0.03,0,0.09,0.06,-0.06,0,,,,,1.98,0.21,-0.21,0,Msini,,,,,,,,,0,0,0,0,21h50m00.12s,327.500519,-64d42m45.1s,-64.71254,103.63,4.48,-4.12,0,105.49,0.81,-0.81,0,5.62,,0,V (Johnson),5.333,,0,4945,100,-100,0,2.42,0.27,-0.27,0,11.6,1.4,-1.4,0,2015-06-04,Multiple Observatories
HIP 109384,b,HIP 109384 b,Radial Velocity,0,1,499.48,0.32,-0.32,0,1.134,0.029,-0.029,0,0.549,0.003,-0.003,0,,,,,1.56,0.08,-0.08,0,Msini,,,,,,,,,0,0,0,0,22h09m37.40s,332.405823,+71d18m51.6s,71.314331,56.2,2.7,-2.7,0,59.06,0.12,-0.12,0,9.63,0.02,0,V (Johnson),9.388,,0,5180,45,-45,0,0.78,0.06,-0.06,0,,,,,2016-02-25,Haute-Provence Observatory
HIP 109600,b,HIP 109600 b,Radial Velocity,0,1,232.08,0.15,-0.15,0,0.706,0.016,-0.016,0,0.163,0.006,-0.006,0,,,,,2.68,0.12,-0.12,0,Msini,,,,,,,,,0,0,0,0,22h12m06.25s,333.026062,+29d03m56.9s,29.065811,58.6,3.2,-3.2,0,66.46,0.19,-0.19,0,9.16,0.02,0,V (Johnson),9.004,,0,5530,35,-35,0,0.87,0.06,-0.06,0,,,,,2016-02-25,Haute-Provence Observatory
HIP 116454,b,HIP 116454 b,Transit,0,1,9.1205,0.0005,-0.0005,0,,,,0,0.2,0.07,-0.07,0,88.43,0.4,-0.4,0,0.04,0.01,-0.01,0,Mass,0.22,0.01,-0.01,0,,,,0,0,0,1,0,23h35m49.28s,353.955353,+00d26m43.9s,0.445516,62.56,0.18,-0.18,0,62.56,0.18,-0.18,0,10.19,0.009,0,V (Johnson),9.932,,0,5089,50,-50,0,0.81,0.11,-0.11,0,0.72,0.02,-0.02,0,2018-04-26,K2
HIP 12961,b,HIP 12961 b,Radial Velocity,0,1,57.435,0.042,-0.042,0,0.25,0.01,-0.01,0,0.17,0.03,-0.03,0,,,,0,0.36,0.07,-0.07,0,Msini,,,,0,,,,0,0,0,0,0,02h46m42.89s,41.678692,-23d05m11.8s,-23.086611,23.39,0.02,-0.02,0,23.39,0.02,-0.02,0,10.24,0.01,0,V (Johnson),9.599,,0,3901,175,-175,0,0.69,0.19,-0.19,0,0.65,0.06,-0.06,0,2018-09-06,La Silla Observatory
HIP 14810,b,HIP 14810 b,Radial Velocity,0,3,6.673892,8E-06,-8E-06,0,0.0696,0.0044,-0.0044,0,0.14399,0.00087,-0.00087,0,,,,0,3.9,0.49,-0.49,0,Msini,,,,0,,,,0,0,0,0,0,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,0.11,-0.11,0,50.55,0.11,-0.11,0,8.52,,0,V (Johnson),8.333,,0,5544,,,0,1.01,0.19,-0.19,0,1.07,0.08,-0.08,0,2018-09-27,W. M. Keck Observatory
HIP 14810,c,HIP 14810 c,Radial Velocity,0,3,147.747,0.029,-0.029,0,0.549,0.034,-0.034,0,0.1566,0.0099,-0.0099,0,,,,0,1.31,0.18,-0.18,0,Msini,,,,0,,,,0,0,0,0,0,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,0.11,-0.11,0,50.55,0.11,-0.11,0,8.52,,0,V (Johnson),8.333,,0,5544,,,0,1.01,0.19,-0.19,0,1.07,0.08,-0.08,0,2018-09-27,W. M. Keck Observatory
HIP 14810,d,HIP 14810 d,Radial Velocity,0,3,981.8,6.9,-6.9,0,1.94,0.13,-0.13,0,0.185,0.035,-0.035,0,,,,0,0.59,0.1,-0.1,0,Msini,,,,0,,,,0,0,0,0,0,03h11m14.23s,47.809292,+21d05m50.5s,21.097359,50.55,0.11,-0.11,0,50.55,0.11,-0.11,0,8.52,,0,V (Johnson),8.333,,0,5544,,,0,1.01,0.19,-0.19,0,1.07,0.08,-0.08,0,2018-09-27,W. M. Keck Observatory
HIP 35173,b,HIP 35173 b,Radial Velocity,0,1,41.516,0.077,-0.077,0,0.217,0.004,-0.004,0,0.16,0.11,-0.11,0,,,,0,0.03996,0.0085,-0.0085,0,Msini,,,,0,,,,0,0,0,0,0,07h16m10.68s,109.044479,-03d39m57.3s,-3.66591,33.19,,,0,33.19,0.06,-0.06,0,9.01,0.02,0,V (Johnson),,,,4881,55,-81,0,0.79,0.05,-0.05,0,,,,0,2019-05-23,Las Campanas Observatory
HIP 41378,b,HIP 41378 b,Transit,0,5,15.572098,1.8E-05,-1.9E-05,0,,,,0,,,,0,88.8,0.8,-1.4,0,,,,0,,,,,0,,,,0,0,0,1,0,08h26m27.85s,126.616043,+10d04m49.4s,10.080378,106.61,0.67,-0.67,0,106.61,0.67,-0.67,0,8.93,,0,V (Johnson),8.81,,0,6226,43,-43,0,1.17,0.07,-0.07,0,1.34,0.03,-0.03,0,2019-06-13,K2
